==============================================================================
  DZIENNIK POMIAROW TACHIMETRYCZNYCH
==============================================================================
  Data raportu   : 2026-06-01 21:46:14
  Stanowisko O   : X0 = 1000.000 m   Y0 = 1000.000 m
  Nawiazanie A   : Xa = 1000.000 m   Ya = 1200.000 m
  Dokl. katowa   : 5.0"
  Dokl. dlugosci : 2.0 mm + 2.0 ppm
==============================================================================

  OBSERWACJE I OBLICZENIA
------------------------------------------------------------------------------------------------------------
Pkt      Data                   Hz     D[m]     dX[m]     dY[m]       X[m]       Y[m]  mX[mm]  mY[mm]  mP[mm]
7_31     2025-04-14     076°03'20"  178.041  +172.794   +42.904   1172.794   1042.904   2.512   4.227   4.917
7_32     2025-04-15     075°43'37"  168.219  +163.026   +41.473   1163.026   1041.473   2.477   3.994   4.700
7_33     2025-04-16     077°23'14"  175.788  +171.546   +38.385   1171.546   1038.385   2.476   4.190   4.867
7_34     2025-04-17     075°13'57"  174.289  +168.532   +44.426   1168.532   1044.426   2.513   4.129   4.834
7_35     2025-05-01     074°35'22"  173.762  +167.515   +46.174   1167.515   1046.174   2.525   4.108   4.822
7_36     2025-05-02     073°06'46"  178.555  +170.855   +51.868   1170.855   1051.868   2.582   4.198   4.928
7_37     2025-05-03     076°18'23"  176.205  +171.196   +41.713   1171.196   1041.713   2.499   4.187   4.876
7_38     2025-05-04     076°12'54"  172.225  +167.264   +41.038   1167.264   1041.038   2.485   4.093   4.788
7_39     2025-05-05     076°18'57"  177.815  +172.768   +42.066   1172.768   1042.066   2.506   4.225   4.912
7_40     2025-05-06     074°33'49"  175.733  +169.394   +46.775   1169.394   1046.775   2.534   4.154   4.866
7_41     2025-05-07     075°30'50"  172.805  +167.311   +43.226   1167.311   1043.226   2.501   4.098   4.801
7_42     2025-05-08     076°04'25"  168.557  +163.602   +40.567   1163.602   1040.567   2.472   4.006   4.707
7_43     2025-05-09     074°44'15"  174.416  +168.264   +45.914   1168.264   1045.914   2.525   4.125   4.837
7_44     2025-05-10     075°42'20"  180.212  +174.633   +44.495   1174.633   1044.495   2.529   4.273   4.965
7_45     2025-05-11     075°13'32"  177.441  +171.574   +45.250   1171.574   1045.250   2.527   4.202   4.904
7_46     2025-05-12     074°40'00"  181.107  +174.660   +47.891   1174.660   1047.891   2.557   4.280   4.985
7_47     2025-05-13     076°29'28"  176.920  +172.025   +41.328   1172.025   1041.328   2.498   4.206   4.892
7_48     2025-05-14     075°08'03"  180.474  +174.433   +46.302   1174.433   1046.302   2.543   4.272   4.971
7_49     2025-05-15     075°39'01"  181.431  +175.771   +44.966   1175.771   1044.966   2.535   4.301   4.993
7_50     2025-05-16     076°10'45"  183.838  +178.515   +43.916   1178.515   1043.916   2.534   4.364   5.046
8        2025-03-01     060°56'38"  157.334  +137.533   +76.412   1137.533   1076.412   2.743   3.518   4.461
9        2025-03-01     043°32'02"  145.072   +99.923  +105.172   1099.923   1105.172   2.998   2.937   4.197
10       2025-03-01     023°01'14"  134.335   +52.533  +123.637   1052.533   1123.637   3.126   2.446   3.969
11       2025-03-01     000°00'00"  130.000    +0.000  +130.000   1000.000   1130.000   3.151   2.260   3.878
12       2025-03-01     336°58'46"  134.335   -52.533  +123.637    947.467   1123.637   3.126   2.446   3.969
13       2025-03-01     316°27'58"  145.072   -99.923  +105.172    900.077   1105.172   2.998   2.937   4.197
14       2025-03-01     299°03'22"  157.334  -137.533   +76.412    862.467   1076.412   2.743   3.518   4.461
15       2025-03-01     283°57'13"  166.596  -161.680   +40.172    838.320   1040.172   2.465   3.959   4.664
16       2025-03-01     270°00'00"  170.000  -170.000    -0.000    830.000   1000.000   2.340   4.121   4.739
17       2025-03-01     256°02'47"  166.596  -161.680   -40.172    838.320    959.828   2.465   3.959   4.664
18       2025-03-01     240°56'38"  157.334  -137.533   -76.412    862.467    923.588   2.743   3.518   4.461
19       2025-03-01     223°32'02"  145.072   -99.923  -105.172    900.077    894.828   2.998   2.937   4.197
20       2025-03-01     203°01'14"  134.335   -52.533  -123.637    947.467    876.363   3.126   2.446   3.969
------------------------------------------------------------------------------------------------------------

  KONIEC RAPORTU
==============================================================================
